Sample,Type,AME,BCF,BGB,BKB,BLC,BLG,BLR,BLS,BRM,BRS,BUM,BUS,CAP,CCF,CHS,COS,DUD,EMS,FCF,FRD,GOL,GOR,GRC,GSF,GZS,HFC,INS,LMB,LOG,LOP,LOS,MOF,MOM,MOO,NFH,NHS,ORS,RVC,RVS,SAB,SAR,SAS,SCP,SES,SFS,SHG,SHR,SHS,SJM,SKH,SMB,SPB,SPC,SPG,STB,SUM,SVC,SVL,SVM,SVR,THS,ULL,WHB,WHC,YLB
MC_3_3S,2,0,0,0,0,0,3,0,0,0,5,26,0,5,4,0,0,0,151,0,5,0,0,0,2,17,0,1,0,0,0,3,0,0,0,0,0,0,6,15,1,0,0,0,0,18,1,0,0,0,1,0,3,0,0,0,0,8,0,3,0,0,0,1,0,0
NH_1_1M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH_1_1S,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH_1_2M,1,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,1,1,0,0,0,0,0,76,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,13,0,0,8,0,0,0,1,0,0
NH_1_2S,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,12,3,0,0,0,0,0,23,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,42,0,0,0,0,0,0
NH_1_3M,1,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,6,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
NH_1_3S,2,0,0,0,0,0,0,0,1,0,2,0,2,2,6,0,0,0,211,3,30,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,0,16,0,3,0,0
NH_2_1M,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,74,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0
NH_2_1S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,27,0,1,1,2,0,0
NH_2_2M,1,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
