Reach,Ch_bd201,Ch_bd50,Ch_bdg101,Glakes,Missi,Bigriver,Pondup_L,Ponddn_L,Pondup_S,Ponddn_S,Pondupst,Ponddnst,Pond,Pondarea,Damupst,Damdnst,Damup_L,Damdn_L,Order,Downorder,Link,Dlink,Sinuosity,CH_Grad,R_Water,RT_Grass,W_Urban,W_Agri,W_Grass,W_Forest,W_Water,W_Wet,W_Area,W_Perm,W_Slope,W_Darcy,WT_Urban,WT_Agri,WT_Grass,WT_Forest,WT_Alluv,WT_Coars,WT_CMorai,WT_Collu,WT_Dune,WT_Fine,WT_ICont,WT_Lacus,WT_Loess,WT_MMora,WT_OWash,WT_PMuck,WT_Rocky,WT_Sand,WT_Shale,WT_Carb,WT_BR50,WT_BR100,WT_BG100,Wt_Area,WT_Slope,WT_Precip,WT_Perm,WT_JMin,WT_GDD,WT_Darcy
bmudd1282,1,0,0,0,0,1,16274.77,0,7.48,0,1,0,0,0,0,1,0,42138.78,3,3,20,21,1.161,0.00200451,0.0017,0.3192,0,0.4231,0.3862,0.1907,0,0.0984,0.7317,76,1.0898,-31.246,0.0049,0.561,0.2809,0.1518,0.0809,0,0,0,0,0.9191,0,0,0,0,0,0,0,0,1,0,1,0,0,54.9792,0.7947,1053.0114,52.9099,194,4309.3755,-4.1975
bmudd1297,1,0,0,0,0,1,12263.67,0,7.74,0,1,0,0,0,0,1,0,39232.54,3,3,9,10,1.342,0.00040611,0.0021,0.2634,0,0.7877,0.1513,0.0609,0,0.0511,2.5695,62.0539,0.5783,-0.1937,0,0.432,0.2953,0.2707,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,37.1583,1.1626,1057.2898,60.1544,193.346,4257.686,0.0016
bmudd1354,1,0,0,0,1,1,10896.37,0,189.52,0,1,0,0,0,1,0,8865.96,0,5,5,189,190,2.249,0.00107257,0.0164,0.304,0.3655,0.2341,0.1082,0.2893,0.0013,0.256,4.0752,71.4095,0.5837,-10.7374,0.0062,0.4975,0.2794,0.2096,0.1177,0.0129,0,0,0,0.8657,0.0129,0,0,0,0,0,0,0,1,0,1,0,0,584.9046,0.906,1040.3832,52.4149,191,4167.2979,-3.2542
bmudd1464,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,16,17,1.431,0.0004764,0,0.2639,0,0.7442,0.1423,0.1075,0.006,0.0621,10.8522,56.9635,0.4604,-5.2346,0,0.5562,0.2816,0.1604,0.142,0,0,0,0,0.8047,0,0.0532,0,0,0,0,0,0,1,0,1,0,0,76.3218,1.0237,1087.4073,74.1732,189,4062.6985,-4.879
bmudd1474,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,11,1.098,0.00123359,0,0.3728,0,0.5443,0.2658,0.1879,0.0021,0.0047,3.0609,72.4763,1.0862,-0.3481,0,0.5638,0.3383,0.0977,0.0001,0,0,0,0,0.9999,0,0,0,0,0,0,0,0,1,0,1,0,0,30.4704,1.0982,1068.4341,64.9699,192.5057,4197.0049,-0.0183
bmudd1598,0.6478,0.3522,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,6,1.512,0.00081239,0.0345,0.0905,0,0.3528,0.2892,0.3179,0.0348,0.2016,6.5259,48.4352,1.5256,-7.668,0,0.3548,0.2895,0.3144,0.3601,0,0,0,0,0.344,0,0,0,0,0,0,0,0,1,0,0.6382,0.3618,0,6.5979,1.5228,1081.0631,48.3868,192,4121.8179,-7.6518
bmudd160,1,0,0,0,0,1,9469.43,103223.17,83.4,16289.82,1,1,0,0,1,1,5522.31,103223.17,3,3,11,12,1.442,0.00054046,0.0471,0.2509,0.0009,0.1775,0.3436,0.44,0.0372,0.075,10.8531,79.4067,1.9417,-10.7046,0.0042,0.2382,0.4072,0.3368,0.106,0,0,0,0,0.894,0,0,0,0,0,0,0,0,1,0,1,0,0,83.628,1.5509,1060.3623,78.8145,188,3922.4827,-6.9655
bmudd1601,0.5664,0.4336,0,0,0,1,7375.13,0,10.14,0,1,0,0,0,1,1,25923.56,96030.76,3,3,17,21,1.386,0.00040058,0.0994,0.154,0.0939,0.5835,0.0785,0.2238,0,0.1551,5.0436,39.6981,0.1288,-0.0166,0.0819,0.4804,0.1668,0.2321,0,0,0,0,0,0.9226,0,0.0336,0,0,0,0,0,0,1,0,0.9621,0.0379,0,60.7887,0.614,1076.9623,42.6207,191,4119.2832,-0.6115
bmudd1615,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,6,1.058,0.0011311,0,0.328,0,0.5018,0.2994,0.1987,0,0.1091,0.9738,43.5287,1.4122,-5.1506,0.0677,0.3637,0.3873,0.1698,0.003,0,0,0,0,0.9947,0,0.0023,0,0,0,0,0,0,1,0,1,0,0,30.3165,0.779,1088.1165,28.693,190,4114.3345,-0.1838
bmudd1647,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,8,1.173,0.00110689,0,0.3095,0.0797,0.4808,0.1894,0.2502,0,0.1195,1.2879,56.3061,1.1321,-27.1307,0.0663,0.383,0.3699,0.17,0.0288,0,0,0,0,0.9622,0,0.009,0,0,0,0,0,0,1,0,1,0,0,33.5367,0.7809,1088.5327,29.3678,190,4113.0518,-1.5101
bmudd1833,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,18,20,1.058,0.00092052,0.0018,0.3208,0,0.77,0.1367,0.0933,0,0.0733,0.27,77.52,2.1933,0,0.0073,0.387,0.3765,0.2265,0,0,0,0,0,0.8098,0,0.1902,0,0,0,0,0,0,1,0,1,0,0,73.3383,1.7426,1104.6819,66.8488,189,4097.4194,0.0031
bmudd1967,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,7,1.267,0.00072507,0.0007,0.1154,0,0.3565,0.2444,0.3908,0.0019,0.1859,2.8278,68.3342,1.2947,-5.2457,0,0.2611,0.2358,0.5012,0.0192,0,0,0,0,0.917,0,0.0638,0,0,0,0,0,0,1,0,1,0,0,36.1476,3.8647,1115.8835,62.4955,192,4201.3291,-0.6178
bmudd1977,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,25,26,1.341,0.00079584,0.0034,0.2898,0.4416,0.0465,0.1793,0.3208,0.0039,0.1677,7.5726,74.9325,0.7634,-0.0202,0.0545,0.3975,0.3208,0.2186,0,0,0,0,0,0.7482,0,0.2518,0,0,0,0,0,0,1,0,1,0,0,90.4662,0.8073,1129.3862,69.5285,188,4049.5127,-0.0018
bmudd2110,1,0,0,0,1,1,28253.86,0,10.16,0,1,0,0,0,0,0,0,0,3,3,6,8,1.779,0.00084313,0.0138,0.1658,0,0.5855,0.1019,0.3017,0.0092,0.0939,4.3884,76.7363,0.5107,-5.8852,0.261,0.2526,0.209,0.258,0.1362,0,0,0,0,0.6252,0,0.1783,0,0,0,0,0,0,1,0,1,0,0,60.669,0.6582,1129.9048,60.6083,189.5055,4085.3037,-3.1155
bmudd2163,1,0,0,0,0,1,8832.28,0,25.71,19,1,1,0,0,1,1,8832.28,0,3,3,11,90011,1.064,0.0012295,0.0439,0.2423,0.3228,0.089,0.1928,0.3904,0.0019,0.1793,4.8042,73.6497,1.0774,-0.2739,0.0431,0.1055,0.3819,0.4337,0,0,0,0,0,0.8569,0,0.1431,0,0,0,0,0,0,1,0,1,0,0,40.8969,1.5643,1137.6984,62.9161,188,4000.1985,-0.033
bmudd2325,1,0,0,0,1,1,16212.56,0,118.66,0,1,0,0,0,1,0,16212.56,0,2,2,4,5,1.496,0.00165443,0.1479,0.0119,0.2114,0.3121,0.0077,0.4661,0.0027,0.2169,1.9755,73.6273,0.523,-13.882,0.3529,0.0651,0.072,0.474,0.2327,0,0,0,0,0.5889,0,0.1783,0,0,0,0,0,0,1,0,1,0,0,23.8104,1.6061,1135.5582,63.8929,191,4192.3066,-8.0401
bmudd2329,1,0,0,0,1,1,4078.63,0,54.63,0,1,0,0,0,1,0,4078.63,0,2,6,2,1138,1.386,0.00156666,0.0775,0.1901,0,0.1136,0.3034,0.5817,0.0013,0.1292,4.8474,69.0516,2.1855,-32.2187,0,0.1237,0.3497,0.5127,0.2798,0,0,0,0,0.6732,0,0.047,0,0,0,0,0,0.0244,0.9756,0,1,0,0,25.5384,2.7012,1140.066,72.1164,191,4175.9951,-18.0732
bmudd2358,1,0,0,0,0,1,5462.5,43089.1,19.38,7212.48,1,1,0,0,1,1,31511.89,96063.95,4,4,18,19,1.17,0.00101463,0.0171,0.278,0.068,0.4951,0.2098,0.1711,0.0464,0.1647,4.3281,73.5014,0.4028,0,0.0219,0.3052,0.3767,0.2845,0,0,0,0,0,0.7728,0,0.2271,0,0,0,0,0,0,1,0,0.9876,0.0124,0,82.5192,1.0734,1140.5319,65.2052,188,4032.8611,0.0045
bmudd2388,1,0,0,0,1,1,7099.66,0,12.97,0,1,0,0,0,0,0,0,0,2,2,4,5,1.171,0.00101112,0.0007,0.2891,0.3755,0.182,0.1172,0.3174,0.0021,0.0487,11.9403,77.7924,0.6017,-3.0041,0.1757,0.1549,0.2843,0.3811,0.2254,0,0,0,0,0.5824,0,0.1922,0,0,0,0,0,0,1,0,1,0,0,26.1855,1.4122,1136.7452,69.678,191.1471,4188.9448,-8.1841
bmudd2396,1,0,0,0,0,1,24491,29148.24,19.38,7212.48,1,1,0,0,1,1,50540.39,82123.09,4,4,23,27,1.164,0.00076153,0.0205,0.27,0.1126,0.649,0.1317,0.1015,0,0.1031,2.2617,66.6661,0.454,0,0.0314,0.3519,0.36,0.2409,0,0,0,0,0,0.772,0,0.2279,0,0,0,0,0,0,1,0,0.9883,0.0117,0,107.0082,1.0104,1141.1002,64.9623,188,4035.1196,0.0035
bmudd2419,1,0,0,0,1,1,25686.88,0,68.06,0,1,0,0,0,1,0,25686.88,0,3,3,26,27,2.275,0.00053297,0.0135,0.1075,0.0555,0.2521,0.3559,0.3353,0,0.0163,1.4922,70.2835,1.3709,-17.4403,0.0121,0.0913,0.1855,0.7045,0.1736,0,0,0,0,0.3375,0,0.0021,0,0,0,0,0.4555,0.3393,0.4779,0.1828,1,0,0,127.0602,4.5335,1160.6761,83.9842,190,4245.1045,-19.6707
bmudd2422,1,0,0,0,0,1,20915.06,17460.56,14.14,7212.48,1,1,0,0,1,1,58694.28,70435.41,4,4,31,35,1.817,0.00000106,0.0161,0.2514,0.0939,0.1825,0.4255,0.2909,0.0072,0.1793,1.9926,73.7669,0.9133,0,0.1273,0.3067,0.3312,0.2218,0,0,0,0,0,0.7966,0,0.1895,0,0,0,0,0,0,1,0,0.9548,0.0452,0,147.5199,0.9659,1141.5176,64.4539,188,4033.1245,-0.047
bmudd246,1,0,0,0,0,1,21140.88,109784.43,7.07,16289.82,1,1,0,0,1,1,49029.2,53349.27,4,4,48,49,1.465,0.00014815,0.0065,0.3615,0,0.6207,0.2062,0.173,0,0.1588,1.7631,75.5927,0.1736,0.0327,0.0041,0.3471,0.4014,0.2445,0.1384,0.0616,0,0,0,0.7712,0.0616,0.0288,0,0,0,0,0,0,1,0,1,0,0,154.0449,1.0001,1052.2988,54.7296,188.7084,3990.0459,-12.0257
bmudd2493,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,23,24,1.299,0.0008942,0.0012,0.0965,0.0816,0.1554,0.0966,0.6664,0,0.0579,4.4649,70.8668,2.1736,-14.8424,0.0134,0.0842,0.1761,0.7223,0.178,0,0,0,0,0.289,0,0,0,0,0,0,0.5315,0.3958,0.3908,0.2133,1,0,0,108.8964,4.8532,1164.2625,87.0809,190,4251.4414,-21.6984
bmudd2529,1,0,0,0,0,1,11079.24,2066.03,49.6,7212.48,1,1,0,0,1,1,6488.32,43260.48,3,3,8,9,1.203,0.00141605,0.0189,0.2714,0,0.1216,0.1644,0.714,0,0.3993,3.87,73.6884,0.6663,0,0,0.1173,0.4153,0.4614,0.0415,0,0,0,0,0.6245,0,0.0944,0,0,0,0,0.2396,0.0094,0.9906,0,1,0,0,44.7399,2.9953,1154.2356,91.4915,190.0009,4197.9448,-5.2538
bmudd2536,1,0,0,0,1,1,7254.78,0,1674.59,0,1,0,0,0,1,0,6994.53,0,3,3,12,15,1.081,0.0014598,0.3774,0.0435,0,0.1435,0.155,0.6951,0,0.0816,4.0707,94.9113,6.2092,-67.1223,0.0092,0.1034,0.1792,0.6252,0.0356,0,0,0,0,0.1078,0,0,0,0,0,0,0.7794,0.7155,0.0813,0.2032,1,0,0,89.6112,5.3946,1164.7837,113.4674,191.5757,4245.2788,-4.8765
bmudd2542,1,0,0,0,1,1,260.25,0,1674.59,0,1,0,0,0,1,0,0,0,3,3,11,12,1.572,0.00777164,0.407,0.0408,0,0.2709,0.1469,0.5795,0.0027,0.059,1.6479,80.1894,5.1327,-83.8722,0.0102,0.1061,0.1813,0.61,0.0164,0,0,0,0,0.1017,0,0,0,0,0,0,0.7959,0.6864,0.0871,0.2265,1,0,0,80.379,5.2094,1166.0077,113.4979,191.5757,4249.1465,-1.3662
bmudd2547,1,0,0,0,0,1,5357.42,14051.61,909.18,7212.48,1,1,0,0,1,1,5357.42,48256.15,4,4,12,13,1.124,0.00021989,0.2877,0.1088,0,0.3574,0.3037,0.329,0.0072,0.0149,1.9917,84.4591,1.8305,0,0,0.0637,0.1653,0.6926,0,0,0,0,0,0.2651,0,0.0566,0,0,0,0,0.5779,0.1739,0.8031,0.023,1,0,0,47.1087,3.8693,1159.95,98.2924,191,4265,0.003
bmudd2563,1,0,0,0,1,1,0,0,68.06,0,1,0,0,0,1,0,0,0,1,2,1,2,1.191,0.00718299,0.2132,0.0935,0,0.0996,0.2413,0.6515,0.0076,0.0139,3.5586,62,2.65,-2.8313,0,0.0986,0.2232,0.6091,0,0,0,0,0,0.7877,0,0,0,0,0,0,0,0,1,0,1,0,0,5.265,2.7391,1144.1527,63.9942,192,4229.4399,-1.9865
bmudd2583,1,0,0,0,0,1,0,16612.69,725.88,7212.48,1,1,0,0,0,1,0,50515.94,3,4,9,14,1.238,0.00502112,0.2365,0.0914,0,0.048,0.0795,0.8714,0.0011,0.0776,4.7997,80.1538,3.8391,0,0,0.0566,0.2626,0.6271,0,0,0,0,0,0.2687,0,0.0396,0,0,0,0,0.6215,0.0446,0.9554,0,1,0,0,54.3816,4.5631,1159.5896,98.0688,191.0418,4253.7969,0.0066
bmudd2584,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,1.126,0.00194676,0.0004,0.0237,0,0.0391,0.1418,0.8191,0,0.0688,2.1195,62,5.7792,-54.3261,0,0.0254,0.086,0.8883,0.0646,0,0,0,0,0.5882,0,0,0,0,0,0,0.3473,0.1243,0.8757,0,1,0,0,14.0121,5.2332,1157.4347,87.2984,192,4262.9585,-7.6926
bmudd2653,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,1.114,0.00245126,0,0.1531,0,0.0654,0.3609,0.569,0.0047,0.0062,3.4686,130,4.8975,-57.0833,0.0156,0.14,0.3182,0.5245,0.115,0,0,0,0,0.3636,0,0,0.3636,0,0,0,0.5214,0.5557,0,0.4443,1,0,0,15.2442,5.5826,1170.5714,130,192,4250.7515,-16.4384
bmudd2695,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1.366,0.01079722,0.0005,0.018,0,0.0257,0.0547,0.9192,0.0004,0.0186,10.3059,95.978,5.1278,-0.0196,0,0.0257,0.0547,0.9192,0,0,0,0,0,0.5317,0,0,0,0,0,0,0.4683,0.169,0.831,0,1,0,0,10.3059,5.1278,1160.1663,95.978,192.8384,4268.0693,-0.0196
bmudd2731,1,0,0,0,0,1,0,0,0,725.88,0,1,0,0,0,1,0,15655.69,1,1,1,90001,1.311,0.00856319,0,0.193,0,0.0718,0.416,0.5069,0,0.0194,14.841,100,4.6269,0.0241,0,0.0718,0.416,0.5069,0,0,0,0,0,0.3738,0,0,0,0,0,0,0.6262,0.0688,0.9312,0,1,0,0,14.841,4.6269,1160.4987,100,191.1799,4249.1538,0.0241
bmudd283,1,0,0,0,0,1,15855.95,106630.41,6.94,16289.82,1,1,0,0,0,1,0,106630.41,4,4,31,32,1.493,0.00051116,0,0.3244,0,0.0625,0.3402,0.5973,0,0.2322,2.8494,60,1.8696,-25.4207,0.0054,0.459,0.2881,0.2451,0.1154,0.0605,0,0,0,0.8241,0.0605,0,0,0,0,0,0,0,1,0,1,0,0,119.8863,0.7856,1040.8347,39.0072,190.6431,4065.2764,-13.3025
bmudd341,1,0,0,0,0,1,0,70920.88,0,16289.82,0,1,0,0,0,1,0,70920.88,3,3,14,16,1.187,0.00096868,0.0023,0.3302,0.0542,0.3386,0.2635,0.3318,0.009,0.2022,2.4084,74.5695,0.8389,0.1469,0.029,0.2242,0.4444,0.2993,0.1137,0,0,0,0,0.8495,0,0.0368,0,0,0,0,0,0,1,0,1,0,0,57.9033,1.4663,1065.4443,74.2935,189,3948.6968,-6.3961
bmudd432,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,275176.42,3,3,13,14,1.324,0.00225201,0,0.359,0.1026,0.3135,0.406,0.178,0,0.0374,1.4211,60,1.3813,-23.3236,0.0276,0.6124,0.2561,0.1037,0.0405,0.0388,0,0,0,0.9207,0.0388,0,0,0,0,0,0,0,1,0,1,0,0,40.5801,0.4939,1030.7742,43.415,192,4120.127,4.53
bmudd532,1,0,0,0,0,1,20697.81,57607.03,6.17,16289.82,1,1,0,0,0,1,0,57607.03,4,4,58,59,1.275,0.00029916,0,0.3554,0,0.6109,0.2222,0.1616,0,0.0977,4.6611,77.6802,0.3016,-0.5746,0.0048,0.4657,0.3202,0.2074,0.1085,0.0377,0,0,0,0.7955,0.0377,0.0583,0,0,0,0,0,0,1,0,1,0,0,235.6596,0.7272,1046.3674,47.2631,190.5083,4070.6365,-8.3978
bmudd588,1,0,0,0,0,1,5761.67,0,7.43,0,1,0,0,0,0,1,0,255309.42,3,3,21,22,1.093,0.006271,0,0.3682,0,0.0508,0.1469,0.8023,0,0.2203,0.1593,76,2.4972,-56.0734,0.0193,0.5593,0.2864,0.1342,0.0751,0.0217,0,0,0,0.9032,0.0217,0,0,0,0,0,0,0,1,0,1,0,0,72.5427,0.6973,1035.6572,47.6814,191.8083,4121.4932,-1.6494
bmudd614,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,31,32,1.124,0.001233,0,0.4632,0,0.4398,0.4103,0.1499,0,0.1499,0.3663,75.7248,0.4595,-14.5676,0.0018,0.5799,0.3309,0.0871,0.0904,0.0455,0,0,0,0.8641,0.0455,0,0,0,0,0,0,0,1,0,1,0,0,113.265,0.6921,1023.7808,46.0484,192,4146.8291,-5.3844
bmudd634,1,0,0,0,1,1,11139.42,0,6.73,0,1,0,0,0,1,0,15213.22,0,4,4,48,49,1.159,0.00221511,0.0361,0.3136,0,0.4748,0.3698,0.1554,0,0.0782,1.6452,61.3479,1.3704,-32.8616,0.0006,0.6269,0.2334,0.1292,0.085,0.0208,0,0,0,0.8847,0.0208,0,0,0,0,0,0,0,1,0,1,0,0,115.3206,0.6597,1020.3373,44.6243,193,4175.52,1.0841
bmudd794,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,14080.03,224190.8,3,3,16,18,1.316,0.00072226,0,0.493,0,0.6835,0.2373,0.0791,0,0.0744,0.5688,61.443,1.2959,-1.7152,0.0004,0.5468,0.3806,0.0713,0.0766,0,0,0,0,0.9234,0,0,0,0,0,0,0,0,1,0,1,0,0,44.4771,0.7686,1054.1182,52.095,191,4105.3525,-2.4479
bmudd889,1,0,0,0,1,1,16358.56,0,6.73,0,1,0,0,0,0,0,0,0,4,4,40,42,2.334,0.00041598,0.0002,0.2869,0,0.356,0.2927,0.3513,0,0.2049,1.1376,72.8971,1.0997,-9.8782,0,0.448,0.2938,0.2574,0.0515,0,0,0,0,0.9485,0,0,0,0,0,0,0,0,1,0,1,0,0,117.4113,1.0717,1040.998,51.4298,193,4215.9072,-2.546
bmudd975,1,0,0,0,0,1,0,22898.49,0,16289.82,0,1,0,0,0,1,0,22898.49,3,3,9,12,1.241,0.00120884,0.0009,0.2217,0.0294,0.7133,0.135,0.1223,0,0.0998,2.2005,77.0429,0.2511,-13.2049,0.0018,0.589,0.2107,0.198,0.1246,0,0,0,0,0.8754,0,0,0,0,0,0,0,0,1,0,1,0,0,35.6166,0.6199,1080.028,55.9994,190,4042.7605,-5.0125
bmudd991,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,11,1.489,0.00116716,0,0.2832,0,0.2222,0.294,0.4838,0,0.1333,6.0948,73.3231,1.7871,-13.1475,0.0002,0.5045,0.2341,0.2602,0.0418,0,0,0,0,0.9582,0,0,0,0,0,0,0,0,1,0,1,0,0,46.9575,0.9329,1055.7935,49.9601,191.9941,4143.0005,-1.6917
broui134,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,41,42,1.907,0,0.0096,0.272,0.0098,0.2024,0.316,0.4393,0.031,0.0903,1.7433,108,2.1285,-31.1719,0.0016,0.8316,0.123,0.0406,0.0449,0,0,0,0,0.2952,0,0,0,0.5924,0.0661,0,0,0,0.9987,0,0.293,0.6077,0.0979,342.4779,0.5538,1026.2871,119.104,179.9843,3774.8853,-7.6212
