Reach,Ch_bd201,Ch_bd50,Ch_bdg101,Glakes,Missi,Bigriver,Pondup_L,Ponddn_L,Pondup_S,Ponddn_S,Pondupst,Ponddnst,Pond,Pondarea,Damupst,Damdnst,Damup_L,Damdn_L,Order,Downorder,Link,Dlink,Sinuosity,CH_Grad,R_Water,RT_Grass,W_Urban,W_Agri,W_Grass,W_Forest,W_Water,W_Wet,W_Area,W_Perm,W_Slope,W_Darcy,WT_Urban,WT_Agri,WT_Grass,WT_Forest,WT_Alluv,WT_Coars,WT_CMorai,WT_Collu,WT_Dune,WT_Fine,WT_ICont,WT_Lacus,WT_Loess,WT_MMora,WT_OWash,WT_PMuck,WT_Rocky,WT_Sand,WT_Shale,WT_Carb,WT_BR50,WT_BR100,WT_BG100,Wt_Area,WT_Slope,WT_Precip,WT_Perm,WT_JMin,WT_GDD,WT_Darcy
embar287,0,0.4,0.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,169627.38,3,4,36,48,1.053,0.00079216,0.0009,0.1481,0.0033,0.602,0.1946,0.188,0.0074,0.1144,1.3455,185,0.7184,-22.0348,0.0104,0.9141,0.0659,0.008,0.0258,0,0,0,0,0.5956,0,0.1694,0,0.0953,0.1138,0,0,0,1,0,0,0.2824,0.7175,315.9423,0.2966,1000.1546,116.4876,180,3733.6941,-7.2924
embar480,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,84583.69,4,4,34,35,1.067,0.00057854,0.0014,0.1638,0.0007,0.5529,0.1912,0.2552,0,0.0593,1.3365,185,1.8364,-44.3098,0.0086,0.8909,0.0765,0.0235,0.0244,0,0,0,0,0,0,0,0,0.9756,0,0,0,0,1,0,0,0.731,0.269,300.1761,0.2789,1021.4205,124.632,181,3792.6226,-1.9387
embar505,0,0.3721,0.6279,0,0,1,0,0,0,0,0,0,0,0,0,1,0,71990.17,4,4,36,37,1.524,0.00113879,0.0014,0.1643,0.011,0.3243,0.2094,0.4554,0,0.0883,1.7235,185,3.0554,-67.941,0.0085,0.8831,0.0785,0.0295,0.0327,0,0,0,0,0,0,0,0,0.9673,0,0,0,0,1,0,0,0.7205,0.2795,307.1889,0.3144,1021.1791,125.6013,181,3792.8674,-2.6913
embar51,0,0,1,0,0,1,55014.45,0,6.41,0,1,0,0,0,0,1,0,290693.22,3,3,18,19,1.261,0.00075369,0.0021,0.228,0.0012,0.9222,0.0571,0.0007,0.0002,0.019,10.9683,168.8118,0.0831,0,0.1203,0.7761,0.0864,0.0095,0,0,0,0,0,0.8744,0,0.1085,0,0,0.0172,0,0,0,0.8444,0.1556,0,0,1,114.4584,0.1231,998.1965,130.857,179,3599.3352,-1.7038
embar542,1,0,0,0,0,1,91343.58,0,27.3,0,1,0,0,0,1,1,90594.09,45485.44,5,5,271,272,1.055,0.00080861,0.0046,0.1764,0,0.3844,0.1077,0.5079,0,0.08,0.9108,139.8755,3.3923,-74.3725,0.0221,0.8663,0.082,0.027,0.0394,0.0111,0,0,0,0.4757,0,0.1795,0,0.2835,0.0219,0,0,0,0.9107,0.0893,0.0075,0.3678,0.6247,1836.6723,0.2693,1004.3106,124.4927,179,3744.2651,-3.7615
embar612,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,639057.23,3,3,9,10,1.138,0.0010138,0.003,0.195,0,0.5033,0.4425,0.0423,0.0119,0.0145,0.6813,114,0.6526,-2.1044,0.152,0.747,0.0888,0.0109,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.8903,0.1097,40.7205,0.1237,994.5067,114.3035,183,3706.8318,-0.5199
embar635,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,28857.77,4,4,15,16,1.402,0.00262917,0,0.1423,0.0033,0.3807,0.1717,0.4443,0,0.077,1.8819,128.561,2.297,-1.4338,0.0226,0.8376,0.0846,0.055,0,0,0,0,0,0,0,0,0,0.9569,0,0,0.0431,0,1,0,0.0949,0.4432,0.4618,69.2757,0.5799,1015.3116,135.3179,181.0316,3819.4058,-0.9908
embar682,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,600163.21,3,4,6,27,1.03,0.00088165,0.0067,0.2369,0.3345,0.2126,0.1368,0.3011,0.0149,0,0.783,185,2.2506,-2.9966,0.1281,0.7457,0.0806,0.0435,0,0,0,0,0,0,0,0,0,0.9761,0.0239,0,0,0,1,0,0,0.7767,0.2233,60.0615,0.3526,1011.5061,129.1349,185.8612,3817.0769,-1.0446
embar684,0,0.9718,0.0282,0,0,1,0,0,0,0,0,0,0,0,0,1,0,600163.21,3,4,21,27,1.523,0.00190296,0.0059,0.2187,0.0299,0.3286,0.297,0.3398,0.0018,0.0276,3.0699,185,2.3908,-23.8171,0.0771,0.7718,0.1173,0.0305,0.0097,0,0,0,0,0,0,0,0,0.9903,0,0,0,0,1,0,0,0.6868,0.3132,103.7781,0.2947,1000.1501,123.9856,183,3747.9172,-1.3718
embar688,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,593198.02,4,4,27,38,1.249,0.00129214,0.006,0.2222,0.075,0.3402,0.2236,0.3612,0,0.04,2.1852,178.2537,3.1116,-32.6454,0.0955,0.7567,0.1054,0.0396,0.0127,0,0,0,0,0,0,0,0,0.9786,0.0087,0,0,0,1,0,0,0.7234,0.2766,166.0248,0.3527,1004.3998,126.5627,183,3773.8909,-1.6651
embar701,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,597178.33,3,3,9,11,1.239,0.00134485,0.0007,0.1966,0,0.5227,0.1831,0.2927,0.0015,0.0137,4.203,178.6317,2.0086,-28.5535,0.1078,0.6306,0.1531,0.1068,0.0248,0,0,0,0,0,0,0,0,0.9752,0,0,0,0,1,0,0,0.489,0.511,69.4953,0.76,997.2327,139.9645,183.4238,3731.4868,-3.962
embar720,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,579908.41,4,4,39,40,1.81,0.00091281,0.0041,0.2114,0.0123,0.3682,0.1651,0.4544,0,0.1021,2.7153,111.297,2.9062,-45.0911,0.1051,0.7017,0.1223,0.0685,0.0276,0,0,0,0,0,0,0,0,0.9667,0.0057,0,0,0,1,0,0,0.6754,0.3246,250.848,0.5404,1002.7573,132.3984,183,3764.5454,-3.0196
embar762,0,1,0,0,0,1,24720.44,0,8.27,0,1,0,0,0,1,1,30573.86,549183.61,5,5,352,90352,1.272,0.00033912,0.0081,0.1749,0,0.4991,0.097,0.3927,0.0113,0.0245,0.9558,111.1149,3.4962,-47.7316,0.0307,0.8267,0.0893,0.0495,0.0412,0.0089,0,0,0,0.3843,0,0.1445,0,0.4052,0.0183,0,0.0058,0,0.9281,0.0719,0.0246,0.4086,0.5667,2281.3911,0.4276,1004.9368,126.8301,179,3753.6741,-3.995
embar827,0.1171,0.8829,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,498071.42,3,3,11,12,1.521,0.00129069,0.0002,0.1756,0.0017,0.6853,0.1197,0.1933,0,0.0445,2.142,185,0.8424,-17.5517,0.0014,0.7507,0.1445,0.103,0.0333,0,0,0,0,0.4467,0,0,0,0.4281,0.0918,0,0,0,1,0,0.451,0.2394,0.3096,87.8598,0.6625,1014.6324,137.5592,182.2963,3810.5759,-11.2732
embar891,0.0854,0.9146,0,0,0,1,36777.22,0,12.86,0,1,0,0,0,1,1,75548.52,499098.85,5,5,360,361,1.154,0.00028584,0.0096,0.1729,0.0012,0.5957,0.1628,0.1803,0.0601,0.0537,1.5426,133.1231,1.346,-73.7089,0.0301,0.8168,0.0909,0.0584,0.0451,0.0087,0,0,0,0.3753,0,0.1407,0,0.4138,0.0189,0,0.0056,0,0.93,0.07,0.0253,0.4092,0.5654,2344.3245,0.4865,1005.0202,126.659,179,3754.6543,-4.5751
embar895,1,0,0,0,0,1,14314.42,0,16.32,0,1,0,0,0,0,1,0,419414.16,3,3,20,25,1.142,0.00087339,0.0041,0.1359,0.0151,0.6046,0.1858,0.1887,0.0057,0.0256,13.2894,50.256,0.8359,-13.3695,0.0061,0.7195,0.1242,0.1493,0.0762,0,0,0,0,0.5305,0,0,0,0.3205,0.0728,0,0,0,1,0,0.628,0.2397,0.1323,232.4241,0.876,1022.0127,86.9169,178.616,3788.4644,-13.4054
embar90013,0,1,0,0,0,1,148763.65,0,27.3,0,1,0,1,8.45,1,1,0,578488.38,5,5,90307,307,1.082,0,0.0078,0.1727,0.0042,0.1924,0.2207,0.5474,0.0354,0.116,0.6363,117.9378,3.2673,-30.2136,0.0214,0.8489,0.0847,0.0412,0.0405,0.0101,0,0,0,0.4358,0,0.1644,0,0.3319,0.0201,0,0.0066,0,0.9182,0.0818,0.028,0.373,0.599,2005.1865,0.3687,1005.1252,126.0637,179,3751.4382,-3.9216
embar964,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,455719.46,3,5,17,387,1.137,0.0007917,0.0001,0.1635,0.0005,0.5553,0.1905,0.2517,0,0.0268,7.308,77.1037,1.2991,-14.541,0.0012,0.7164,0.1563,0.1257,0.097,0,0,0,0,0.4867,0,0,0,0.3359,0.0804,0,0,0,1,0,0.4132,0.3155,0.2713,147.0888,0.7683,1013.5696,118.3712,182.2963,3804.876,-12.3277
illin10065,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,29853.95,3,3,13,14,1.3,0,0,0.2874,0,0.5361,0.259,0.2049,0,0.0101,2.0466,100,2.1354,-48.3993,0,0.8224,0.124,0.0525,0.0541,0,0,0,0,0.9459,0,0,0,0,0,0,0,0,0.6062,0.3938,0.2413,0.5887,0.17,104.9355,0.7951,925.9344,121.2142,178,3446.084,-4.7419
illin1011,0,0,1,0,0,1,0,23221.14,0,697.04,0,1,0,0,0,1,0,23221.14,2,3,3,7,1.171,0.00081137,0.0014,0.1483,0.0169,0.632,0.2121,0.0421,0,0.1061,8.352,179.9362,0.542,-45.4834,0.2531,0.3932,0.174,0.1058,0,0.7723,0.7723,0,0,0,0,0.1372,0,0,0.0196,0.0709,0,0,0.0092,0.9908,0,0,1,47.3256,0.735,910.246,218.9948,160.1963,2842.2283,-57.2857
illin1017,0,0,1,0,0,1,0,33918.98,0,697.04,0,1,0,0,0,1,0,33918.98,1,2,1,2,2.054,0.00270816,0,0.2819,0.0024,0.551,0.3367,0.0612,0.0005,0.0584,28.0197,203.3466,0.7819,-38.9784,0.0024,0.551,0.3367,0.0612,0,0.8498,0.8498,0,0,0,0,0.1311,0,0,0,0.0191,0,0,0.0016,0.9984,0,0,1,28.0197,0.7819,910.6047,203.3466,161.9921,2880.9553,-38.9784
illin10172,0.6694,0.3306,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,756911.56,2,2,7,8,1.265,0.00171562,0,0.236,0,0.7925,0.1621,0.0424,0.0004,0.007,10.1565,113.7918,1.0363,-8.7671,0.0314,0.8471,0.1034,0.0162,0.0238,0,0,0,0,0.9762,0,0,0,0,0,0,0,0,0.9982,0.0018,0.6295,0.3705,0,53.82,0.5223,925.4046,125.2341,178,3454.9556,-1.6545
illin10189,0,0.3745,0.6255,0,0,1,32307.05,583886.96,9.02,30569.49,1,1,0,0,0,1,0,276016.98,3,3,13,14,1.565,0.00095751,0.0023,0.2953,0.0184,0.8085,0.1357,0.0356,0.0018,0.0075,15.5799,81.89,0.2283,-21.9934,0.0045,0.842,0.1374,0.0127,0.0046,0,0,0,0,0.7842,0,0,0,0,0.1804,0.0307,0,0,0.9951,0.0049,0,0.0902,0.9097,159.3351,0.3024,896.4343,78.435,173.2369,3447.2817,-11.3788
illin10192,0,0,1,0,0,1,0,784406.84,0,30569.49,0,1,0,0,0,1,0,408064.31,3,4,11,61,1.113,0.00017302,0.0004,0.1986,0.0021,0.6816,0.1358,0.1785,0.0021,0.1317,1.7496,123.787,0.41,-0.5643,0.0016,0.898,0.0957,0.0043,0.0004,0.0806,0,0,0.0806,0.4679,0,0.4511,0,0,0,0,0,0,0.7411,0.2589,0,0.0258,0.9742,80.3979,0.075,966.1889,145.1542,169.038,3248.551,-0.8341
illin1027,0,0.7885,0.2115,0,0,1,9096.31,739489.72,5.41,30569.49,1,1,0,0,1,1,23279.98,0,2,6,4,313,1.092,0.00123008,0.0408,0.1762,0.9278,0,0,0.0538,0.0184,0,0.6858,909,1.2362,-178.458,0.2104,0.2243,0.2433,0.2524,0,0.6499,0.3619,0,0,0,0,0.2881,0,0,0.189,0.1611,0,0,0.4733,0.5267,0,0.0523,0.9478,59.1318,1.612,907.079,375.518,160.6803,2827.5881,-100.9111
illin1041,0,0,1,0,0,1,11195.13,0,12.94,15.26,1,1,0,0,0,1,0,78245.83,2,2,4,90004,1.544,0.00120483,0.0111,0.257,0.189,0.4054,0.1826,0.1214,0.0084,0.1146,20.2383,91.2443,0.7945,-6.3413,0.1569,0.3714,0.2372,0.147,0,0,0,0,0,0.8855,0,0,0,0,0.0441,0.0704,0,0,0,1,0,0,1,52.8444,0.9954,892.234,85.255,161.779,2757.866,-2.9277
illin10450,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,738832.16,2,3,9,11,1.489,0.00070358,0,0.2482,0,0.7051,0.1645,0.1304,0,0.0115,4.1355,119.025,1.1872,-23.6339,0.0214,0.8345,0.1136,0.0289,0.0597,0,0,0,0,0.9403,0,0,0,0,0,0,0,0,0.9988,0.0012,0.5118,0.4882,0,78.7698,0.6593,924.6834,124.5335,178,3453.249,-4.1602
illin10453,0,1,0,0,0,1,81978.29,14889.71,13.98,17.22,1,1,0,0,0,1,0,269233.2,3,3,15,16,1.265,0.00111753,0.0035,0.1897,0.0037,0.8095,0.1485,0.0323,0.006,0.0134,8.901,93.4914,0.3114,-42.3629,0.0032,0.8897,0.0879,0.0178,0,0,0,0,0,0.9317,0,0,0,0,0.0683,0,0,0,1,0,0.0263,0.5446,0.4291,174.6603,0.1645,905.0404,91.4109,174,3476.4011,-6.4586
illin10458,0,1,0,0,0,1,0,833832.02,0,30569.49,0,1,0,0,0,1,0,457489.49,4,4,12,16,1.078,0.00070023,0,0.1657,0,0.8813,0.0997,0.019,0,0,0.9477,374.2469,0.0779,-23.9088,0.0009,0.9217,0.0768,0.0006,0,0,0,0,0,0.4018,0,0.3859,0,0.1774,0.0348,0,0,0,0.4998,0.5002,0,0.9261,0.0739,59.9022,0.1235,959.166,77.9151,171.4188,3280.6211,-0.0219
illin10495,0,0.2381,0.7619,0,0,1,0,799184.14,0,30569.49,0,1,0,0,0,1,0,422841.61,4,5,17,162,1.628,0.00055693,0.0016,0.1746,0.0269,0.6668,0.1549,0.1412,0.0041,0.0372,7.4502,912.7875,0.3026,-31.8108,0.0035,0.8939,0.0871,0.0144,0.0022,0.0144,0,0,0.0144,0.2385,0,0.2816,0,0.3268,0.1365,0,0,0,0.4835,0.5165,0,0.7886,0.2114,122.1282,0.1353,961.7573,224.1517,170.0428,3267.5679,-5.5122
illin1051,0,0,1,0,0,1,13967.22,753188.56,10.69,30569.49,1,1,0,0,1,1,0,13698.84,2,2,2,90002,1.095,0.00124226,0.0584,0.2656,0.1761,0.4791,0.2373,0.0336,0.0016,0.0736,5.0967,198.4104,0.7383,-59.2108,0.1257,0.2006,0.297,0.3032,0,0.5207,0.2934,0,0,0,0,0.2273,0,0,0.2597,0.2196,0,0,0.5058,0.4942,0,0,1,43.0317,1.7402,908.043,403.2361,160.6803,2828.8984,-95.2616
illin1054,0,0,1,0,0,1,6453.54,857242.71,44.43,30569.49,1,1,0,0,1,1,26076.27,240070.94,3,4,7,80,1.218,0.00521035,0.1462,0.044,0.4536,0.2192,0.0375,0.272,0.0046,0.049,1.1745,57,1.1648,-112.4789,0.429,0.231,0.0941,0.1847,0,0,0,0,0,0.8643,0,0,0,0,0.1357,0,0,0,0,1,0,0,1,30.0672,0.964,879.517,59.5908,162,2719.3892,-16.883
illin10593,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,703775.75,4,4,47,48,1.244,0.00054939,0.0033,0.2395,0.0004,0.3883,0.3544,0.2422,0.009,0.0518,4.7745,105.2055,2.6164,-43.5855,0.0139,0.8589,0.1058,0.0194,0.0304,0,0,0,0,0.9696,0,0,0,0,0,0,0,0,1,0,0,0.3426,0.6574,443.7828,0.4624,929.7938,100.2788,171.513,3412.8203,-2.3237
illin1067,0,0,1,0,0,1,3110.08,862616.62,44.43,30569.49,1,1,0,0,0,1,0,245444.85,2,3,2,7,1.027,0.00349223,0.0043,0,0.5627,0.2627,0,0.1539,0,0.0657,0.918,57,0.7686,-82.6873,0.7095,0.0753,0.0069,0.1894,0,0,0,0,0,0.6586,0,0,0,0,0.3414,0,0,0,0,1,0,0,1,7.3413,0.6341,875.9481,64.0819,162.9943,2699.4241,-28.9524
illin10842,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,681202.32,4,4,56,57,1.04,0.00060854,0.0038,0.2521,0.0096,0.2016,0.5495,0.2323,0.0071,0.0287,2.1654,107.9809,3.756,-42.0515,0.0127,0.839,0.1194,0.0266,0.0393,0,0,0,0,0.9607,0,0,0,0,0,0,0,0,1,0,0,0.3077,0.6922,494.046,0.5614,930.8209,100.5075,171.513,3421.3025,-3.2944
illin10850,0,0,1,0,0,1,0,827795.3,0,30569.49,0,1,0,0,0,1,0,451452.77,2,2,4,5,1.144,0.00104499,0.0007,0.1742,0.0002,0.8783,0.1118,0.0092,0.0005,0.0048,9.3519,53.8879,0.0865,-7.9578,0.0013,0.9104,0.0822,0.003,0,0,0,0,0,0.8346,0,0.1379,0,0,0.0275,0,0,0,0.8096,0.1904,0,0,1,36.3897,0.0602,962.0371,34.653,171,3290.8704,-1.7526
illin10889,0,0,1,0,0,1,18472,0,5.45,0,1,0,0,0,1,1,0,42754.36,3,3,21,22,1.179,0.00415864,0.0026,0.1541,0.0476,0.1161,0.25,0.5407,0.0012,0.0609,2.9844,107,4.016,-149.3833,0.1388,0.5168,0.1465,0.1931,0.0588,0,0,0,0,0.0013,0,0,0,0.9229,0.0169,0,0,0,1,0,0,0,1,102.555,1.8152,949.6537,103.9239,174,3458.1006,-15.2547
illin10917,0,0.619,0.381,0,0,1,0,932242.93,0,30569.49,0,1,0,0,0,1,0,555900.4,3,3,21,22,1.032,0.00110943,0.0016,0.2835,0.0003,0.8487,0.1188,0.0266,0.0011,0.0283,3.213,520.2521,0.2325,-34.9359,0.0048,0.8433,0.1469,0.0042,0.0129,0.0251,0,0,0,0.0279,0.0251,0,0,0.8806,0.0535,0,0,0,0.007,0.993,0.2929,0.6075,0.0996,232.1523,0.3171,949.1782,241.8795,173,3248.1738,-7.7651
illin10959,0,0,1,0,0,1,0,855348.68,0,30569.49,0,1,0,0,0,1,0,479006.15,5,5,132,135,2.498,0,0.0067,0.2688,0,0.3954,0.2785,0.3033,0.0228,0.1863,0.9081,60.3043,1.005,-51.5887,0.0066,0.8592,0.1199,0.0116,0.0223,0.0051,0,0,0,0.5447,0.0051,0.1365,0,0.2303,0.0612,0,0,0,0.2661,0.7339,0.0714,0.1508,0.7777,1151.046,0.2358,949.0775,132.1949,171.9672,3358.3064,-5.6389
illin11013,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,813514.81,3,4,7,116,1.312,0.00251389,0.0041,0.2119,0.0008,0.4195,0.4438,0.1283,0.0076,0.0118,4.5936,111.6569,1.3407,-1.5876,0.0225,0.869,0.0965,0.0104,0.0009,0,0,0,0,0.9991,0,0,0,0,0,0,0,0,1,0,0,0,1,60.4359,0.2149,908.3226,100.0491,174,3448.9529,-0.1027
illin11024,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,516144.33,2,2,4,5,1.298,0.00172484,0.0008,0.2514,0,0.29,0.3421,0.3598,0.0063,0.0195,19.1952,91.8189,3.5278,-43.5537,0,0.4562,0.2586,0.275,0.1107,0,0,0,0,0.5898,0,0,0,0,0,0,0,0,1,0,0.244,0.756,0,74.9556,2.358,953.5862,88.7348,176.211,3382.928,-17.4446
illin11053,0,0,1,0,0,1,39267.82,0,27.67,0,1,0,0,0,1,1,38645.01,658781.21,3,3,29,30,1.148,0.00141959,0.0127,0.1971,0.0027,0.2709,0.5377,0.1604,0.0283,0.0162,0.6678,107,3.1361,-35.5229,0.032,0.7994,0.1241,0.0415,0.0757,0,0,0,0,0.2316,0,0,0,0.6927,0,0,0,0,1,0,0,0.0238,0.9762,181.6794,0.8248,942.338,105.2591,173.7357,3489.0437,-5.4728
illin11065,0,0,1,0,0,1,0,925258.55,0,30569.49,0,1,0,0,0,1,0,548916.02,3,4,12,34,1.233,0.00161368,0.0001,0.2008,0.0029,0.8276,0.1349,0.0243,0,0.0253,3.4083,729.7784,0.2696,-57.5749,0.0007,0.9019,0.0925,0.0042,0.0007,0,0,0,0,0.1192,0,0,0,0.7428,0.1372,0,0,0,0.017,0.983,0.1744,0.2573,0.5682,81.5544,0.2889,950.6249,226.3259,174,3324.1943,-8.5871
illin11070,0,0,1,0,0,1,28139.22,0,5.55,0,1,0,0,0,0,1,0,813514.81,4,4,109,116,1.042,0.00080637,0.0054,0.201,0.017,0.3144,0.5038,0.1578,0.0069,0.0511,1.4256,135.1136,1.8251,-46.3946,0.008,0.885,0.0917,0.0133,0.0081,0,0,0,0,0.9129,0,0,0,0,0.079,0,0,0,1,0,0,0.2462,0.7538,695.7234,0.3239,914.4196,108.6195,173.9386,3521.7117,-9.3093
illin11130,0.7514,0.2486,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,394174.7,2,3,2,5,1.106,0.00469876,0,0.3735,0.0206,0.3029,0.3227,0.3517,0.0022,0.0105,5.3847,106.5907,3.5238,0,0.0094,0.5177,0.2722,0.1997,0,0,0,0,0,0.5877,0,0,0,0,0,0,0.4123,0,1,0,0.2933,0.7067,0,11.8215,2.2542,929.0403,114.7851,184.8953,3469.3142,0
illin11165,0,0,1,0,0,1,418.41,0,5.55,0,1,0,0,0,0,1,0,830120.65,3,4,13,102,1.343,0.00080888,0.0015,0.1403,0.1162,0.4877,0.295,0.0847,0.0032,0.0236,7.488,117.6951,1.0256,-4.1339,0.0225,0.8846,0.0817,0.0093,0.0067,0,0,0,0,0.9933,0,0,0,0,0,0,0,0,1,0,0,0.1564,0.8436,85.599,0.2335,899.9191,97.2634,173.9386,3469.3389,-0.2603
illin11226,0,0,1,0,0,1,13204.14,0,7.09,0,1,0,0,0,0,1,0,700834.16,3,5,9,196,1.564,0.00422227,0.007,0.3031,0.0013,0.237,0.3982,0.3582,0.0052,0.0627,5.3838,108.4845,3.0936,-5.5318,0.0021,0.6734,0.2228,0.0982,0.016,0,0,0,0,0.984,0,0,0,0,0,0,0,0,1,0,0,0,0.9999,30.0294,1.5192,941.379,109.0044,178.2653,3600.6208,-0.9499
illin11231,0,0,1,0,0,1,0,886699.23,0,30569.49,0,1,0,0,0,1,0,510356.7,4,4,44,46,1.351,0.00046861,0.0037,0.2449,0.0016,0.7097,0.1421,0.139,0.0076,0.0905,5.6511,554.7638,0.3459,-29.5948,0.0041,0.8593,0.1263,0.0091,0.0246,0.0146,0,0,0,0.1958,0.0146,0.0064,0,0.6616,0.0971,0,0,0,0.1113,0.8887,0.2052,0.4217,0.3731,400.6377,0.3091,950.1967,237.8579,173,3288.6899,-8.3909
illin11273,0,0,1,0,0,1,0,874076.28,0,30569.49,0,1,0,0,0,1,0,497733.75,5,5,83,84,2.377,0.00003358,0.0062,0.2813,0.0014,0.6644,0.2265,0.0943,0.0117,0.0461,3.771,53.8623,0.5358,-28.769,0.0058,0.865,0.1151,0.011,0.0145,0,0,0,0,0.7443,0,0.2046,0,0,0.0366,0,0,0,0.3328,0.6672,0,0,1,731.6532,0.1914,948.2448,73.7261,171.9672,3397.5032,-3.6926
illin11319,0.5771,0.4229,0,0,0,1,0,936995.36,0,30569.49,0,1,0,0,0,1,0,560652.83,3,3,9,10,1.237,0.00099099,0.0002,0.1924,0.0008,0.9193,0.0778,0.002,0.0001,0,12.8574,241.3747,0.3491,-21.8408,0.0006,0.9063,0.0891,0.0038,0,0,0,0,0,0.1564,0,0,0,0.7705,0.0731,0,0,0,0,1,0.0873,0.1999,0.7129,54.2088,0.3449,950.3649,147.4714,174.9778,3333.7549,-6.2461
illin11334,0,0,1,0,0,1,0,884342.93,0,30569.49,0,1,0,0,0,1,0,508000.4,3,5,10,83,1.199,0.0014515,0.0018,0.2491,0.0041,0.5663,0.2732,0.1389,0.0019,0.0746,2.8827,271.3821,0.5173,-66.6712,0.0012,0.8797,0.1072,0.0105,0.0023,0,0,0,0,0.9001,0,0.0052,0,0,0.0924,0,0,0,0.4057,0.5943,0,0,1,92.1852,0.2318,947.8193,177.5592,173.9903,3413.7202,-6.5456
illin11339,0,0,1,0,0,1,0,889945.49,0,30569.49,0,1,0,0,0,1,0,513602.96,3,4,9,23,1.164,0.00078982,0.0014,0.284,0.0498,0.7848,0.1537,0.0105,0.0012,0.0029,8.3844,42.9899,0.1832,-6.0521,0.0153,0.837,0.1437,0.0035,0,0,0,0,0,0.9418,0,0.0444,0,0,0.0138,0,0,0,0.0016,0.9984,0,0,1,60.1695,0.2687,923.0924,18.9582,172.4197,3376.3813,-0.8433
illin1146,0,0,1,0,0,1,0,842799.27,143.73,30569.49,1,1,0,0,0,1,0,225627.49,1,2,1,2,1.425,0.00467004,0.2972,0.0788,0.2754,0.2571,0.1128,0.2721,0.0473,0.0695,3.6378,59.8501,1.0883,0,0.2517,0.207,0.2186,0.2225,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,9.8793,1.125,892.6442,61.7445,163,2784.3323,0
illin11466,0,0,1,0,0,1,0,907245.97,0,30569.49,0,1,0,0,0,1,0,530903.44,2,3,6,8,1.744,0.0014024,0.0003,0.1891,0.0366,0.8102,0.1246,0.0274,0.0004,0.0079,8.0379,176.6914,0.3393,-9.043,0.0081,0.9014,0.0832,0.0071,0.0002,0,0,0,0,0.9653,0,0,0,0.0012,0.0333,0,0,0,0.0829,0.9171,0,0,1,37.6452,0.3728,950.7349,130.5956,174.7631,3385.0474,-1.8732
illin11469,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,860784.18,2,4,4,75,1.482,0.00176151,0.0009,0.1817,0.0031,0.5266,0.303,0.1663,0.001,0.0285,2.5929,110.9747,0.8615,-15.3457,0.0007,0.926,0.0617,0.0116,0,0,0,0,0,0.9956,0,0,0,0,0.0044,0,0,0,1,0,0,0.867,0.133,37.5462,0.1413,903.9025,105.7307,175.1202,3485.9016,-0.5093
illin11476,0,0,1,0,0,1,0,905071.89,0,30569.49,0,1,0,0,0,1,0,528729.36,5,5,66,67,2.386,0,0.0056,0.2854,0,0.4786,0.2647,0.1247,0.0254,0.1914,1.2411,69,1.1443,-132.5881,0.0063,0.865,0.1163,0.0088,0.0141,0,0,0,0,0.7335,0,0.2436,0,0,0.0088,0,0,0,0.3013,0.6987,0,0,1,563.1813,0.1875,948.4716,50.2398,171.9672,3393.6404,-1.7677
illin11580,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,859634.12,3,4,9,84,1.428,0.00204255,0.0019,0.2011,0.0054,0.4932,0.3146,0.1822,0.0045,0.0399,0.9927,109.3237,1.0254,-23.583,0.0031,0.9042,0.0859,0.0065,0,0,0,0,0,0.9985,0,0,0,0,0.0015,0,0,0,1,0,0,0.0749,0.9251,76.0122,0.283,923.8895,113.7611,176.963,3564.825,-0.8335
illin11608,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,888832.82,3,3,17,18,1.067,0.00101976,0.0002,0.1583,0.0002,0.8546,0.0953,0.0499,0,0.0157,4.581,117.0361,0.5318,-7.2063,0.0009,0.9395,0.0564,0.0028,0,0,0,0,0,0.9361,0,0,0,0,0.0639,0,0,0,1,0,0,0.4032,0.5968,106.7184,0.2304,908.8221,96.0725,175.0181,3499.5049,-4.0596
