EPA_Code,Alasmidonta_marginata,Alasmidonta_viridis,Anodontoides_ferussacianus,Arcidens_confragosus,Lasmigona_complanata,Lasmigona_compressa,Lasmigona_costata,Pyganodon_grandis,Strophitus_undulatus,Utterbackia_imbecillis,Amblema_plicata,Cyclonaias_tuberculata,Elliptio_dilatata,Fusconaia_flava,Megalonaias_nervosa,Pleurobema_sintoxia,Quadrula_metanevra,Quadrula_nodulata,Quadrula_pustulosa,Quadrula_quadrula,Tritogonia_verrucosa,Uniomerus_tetralasmus,Actinonaias_ligamentina,Lampsilis_cardium,Lampsilis_fasciola,Lampsilis_siliquoidea,Lampsilis_teres,Leptodea_fragilis,Ligumia_recta,Ligumia_subrostrata,Obliquaria_reflexa,Potamilus_alatus,Potamilus_ohiensis,Toxolasma_parvum,Toxolasma_texasiensis,Truncilla_donaciformis,Truncilla_truncata,Venustaconcha_ellipsiformis,Villosa_lienosa,latitude,longitude,CH_bd50,Ch_bd100,Ch_bdG100,Glakes,Missi,Bigriver,Pondup_L,Ponddn_L,Pondup_S,Ponddn_S,Pondupst,Ponddnst,Pond,Pondarea,Damupst,Damdnst,Damup_L,Damdn_L,Order,Downorder,Link,Dlink,Sinuosity,CH_Grad,R_Water,RT_Grass,W_Urban,W_Agri,W_Grass,W_Forest,W_Water,W_Wet,W_Area,W_Perm,W_Slope,W_Darcy,WT_Urban,WT_Agri,WT_Grass,WT_Forest,WT_Alluv,WT_Coars,WT_CMorai,WT_Collu,WT_Dune,WT_Fine,WT_ICont,WT_Lacus,WT_Loess,WT_MMora,WT_OWash,WT_PMuck,WT_Rocky,WT_Sand,WT_Shale,WT_Carb,WT_BR50,WT_BR100,WT_BG100,WT_Area,WT_Slope,WT_Precip,WT_Perm,WT_AMean,WT_JMin,WT_JMean,WT_JMax,WT_GDD,WT_Darcy
C_02,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,38.0919022,-89.0674809,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,161717.45,0,1,1,3,1.091,0.00546302,0,0.7548,0.3299,0.1816,0.4159,0.0725,0,0.0086,1.6749,60,0.3418,0,0.3299,0.1816,0.4159,0.0725,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.6749,0.3418,1082.2982,60,128.0903,191,254,317.0903,4118.875,0
NCDB_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.050994,-89.4296813,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,1.098,0.00123359,0,0.3728,0,0.5443,0.2658,0.1879,0.0021,0.0047,3.0609,72.4763,1.0862,-0.3481,0,0.5638,0.3383,0.0977,0.0001,0,0,0,0,0.9999,0,0,0,0,0,0,0,0,1,0,1,0,0,30.4704,1.0982,1068.4341,64.9699,130.7053,192.5057,256.0367,319.1706,4197.0049,-0.0183
NHG_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0122796,-88.7308105,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,1.096,0.00223504,0.0083,0.3751,0,0.5196,0.3125,0.1574,0,0.0591,3.6549,72.0537,1.3664,-8.1778,0,0.2211,0.4338,0.3419,0.0626,0,0,0,0,0.9374,0,0,0,0,0,0,0,0,1,0,1,0,0,21.9825,2.5586,1097.3411,81.4197,127.7817,189,252.0018,315,4084.8794,-2.0357
NEB_02,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,38.0144603,-89.1877195,0.5664,0.4336,0,0,0,1,7375.13,0,10.14,0,1,0,0,0,1,1,25923.56,96030.76,0,3,17,21,1.386,0.00040058,0.0994,0.154,0.0939,0.5835,0.0785,0.2238,0,0.1551,5.0436,39.6981,0.1288,-0.0166,0.0819,0.4804,0.1668,0.2321,0,0,0,0,0,0.9226,0,0.0336,0,0,0,0,0,0,1,0,0.9621,0.0379,0,60.7887,0.614,1076.9623,42.6207,128.9454,191,254.8355,320,4119.2832,-0.6115
NH_23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37.9876699,-88.8584783,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,72,74,2.197,0,0.0014,0.2583,0,0.4444,0.1154,0.3097,0,0.4036,1.2555,68.1548,1.1484,0,0.0047,0.5388,0.2824,0.1715,0.0919,0,0,0,0,0.8192,0,0.0889,0,0,0,0,0,0,1,0,1,0,0,329.4702,1.3089,1091.6477,65.9365,127.5998,189,252.4866,316,4082.7278,-3.0351
N_06,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,37.9950538,-88.9781729,1,0,0,0,1,1,6197.96,0,7.35,0,1,0,0,0,1,0,4795.26,0,0,5,277,278,1.172,0.00098529,0.199,0.2126,0.2052,0.1796,0.0476,0.5461,0.0019,0.3895,2.8908,73.4751,0.7902,-9.0028,0.0328,0.3893,0.2924,0.2323,0.0643,0.0143,0,0,0,0.7603,0.0143,0.0874,0,0,0,0,0,0,1,0,1,0,0,1287.8595,0.7539,1065.6809,61.829,126.0876,188,252.761,318,4037.9548,-4.2619
NZN_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37.9868285,-89.028777,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,1.173,0.00110689,0,0.3095,0.0797,0.4808,0.1894,0.2502,0,0.1195,1.2879,56.3061,1.1321,-27.1307,0.0663,0.383,0.3699,0.17,0.0288,0,0,0,0,0.9622,0,0.009,0,0,0,0,0,0,1,0,1,0,0,33.5367,0.7809,1088.5327,29.3678,128.4626,190,254,317.3979,4113.0518,-1.5101
NE_04,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.9637609,-89.1608688,1,0,0,0,0,1,28324.7,0,6.67,0,1,0,0,0,1,1,153776.81,74373.15,0,5,128,134,1.393,0.00066555,0.0022,0.3207,0,0.635,0.0238,0.2387,0.0935,0.1345,6.7608,71.8978,0.0743,-4.0571,0.0098,0.5079,0.2982,0.1769,0.1006,0.0037,0,0,0,0.8218,0.0037,0.0738,0,0,0,0,0,0,1,0,0.9904,0.0096,0,426.6225,0.7787,1065.8376,56.5576,128.4139,190.9099,254.0845,319.0262,4113.8901,-3.0725
NE_05,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,37.8876608,-89.1876765,0.7684,0.2316,0,0,0,1,10953.81,0,41.9,0,1,0,0,0,1,1,109302.22,0,0,5,169,170,2.657,0,0.0126,0.2523,0,0.4428,0.1092,0.4186,0.0262,0.1483,6.966,76.7835,0.501,-9.0239,0.0261,0.5217,0.2326,0.206,0.1178,0.0023,0,0,0,0.7424,0.0023,0.1208,0,0,0,0,0,0,1,0,0.9239,0.0761,0,684.3924,0.6344,1073.9834,55.5173,128.4751,190,254.3428,320,4112.3755,-2.6868
NG_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8609218,-88.8341884,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,1.493,0.00123482,0.0051,0.2935,0,0.7481,0.0809,0.1633,0,0.1456,1.1682,75.2681,0.0524,0,0,0.3283,0.3669,0.2992,0,0,0,0,0,0.8893,0,0.1107,0,0,0,0,0,0,1,0,1,0,0,31.8384,1.2696,1132.4204,67.0592,127.5322,188,250.4453,313.5041,4059.6824,0
