"","COMID","A_ligamentina","A_confragosus","E_triquetra"
"251",2927013,0,0,0
"252",2927015,0,0,0
"253",2927047,0,0,0
"254",2927049,1,0,0
"255",2927051,1,0,0
"256",2927057,0,0,0
"257",2927065,0,0,0
"258",2927079,1,0,0
"259",2927089,0,0,0
"260",2927095,0,0,0
"261",2927099,0,1,0
"262",2927101,1,0,0
"263",2927103,0,0,0
"264",2927111,0,0,0
"265",2927191,0,0,0
"266",2927215,0,0,0
"267",2927361,0,0,0
"268",2927379,0,0,0
"269",2927381,0,0,0
"270",2927413,1,1,0
"271",2927415,0,1,0
"272",2927419,0,0,0
"273",2927433,0,0,0
"274",2927437,0,1,0
"275",2927439,0,0,0
"276",2927455,0,1,0
"277",2927469,0,1,0
"278",2927473,1,1,0
"279",2927487,0,1,0
"280",2927509,0,1,0
"281",2927525,1,1,0
"282",2927529,1,1,0
"283",2927531,0,1,0
"284",2927535,1,1,0
"285",2927547,1,1,0
"286",2927551,0,1,0
"287",2927555,1,1,0
"288",2927561,1,1,0
"289",2927563,0,0,0
"290",2927565,0,0,0
"291",2927567,1,1,0
"292",2927571,0,1,0
"293",2927577,0,0,0
"294",2927579,0,0,0
"295",2927581,1,1,0
"296",2927585,0,0,0
"297",2927587,1,0,0
"298",2927589,1,1,0
"299",2927597,0,1,0
"300",2927605,0,0,0
"301",2927607,0,1,0
"302",2927615,1,1,0
"303",2927639,0,0,0
"304",2927643,1,1,0
"305",2927645,0,1,0
"306",2927647,1,1,0
"307",2927651,1,1,0
"308",2927653,1,1,0
"309",2927655,0,0,0
"310",2927661,0,0,0
"311",2927663,0,0,0
"312",2927665,0,0,0
"313",2927667,0,1,0
"314",2927669,0,0,0
"315",2927677,0,0,0
"316",2927687,0,1,0
"317",2927705,1,1,0
"318",2927709,0,1,0
"319",2927711,0,1,0
"320",2927713,1,1,0
"321",2927715,0,0,0
"322",2927717,0,0,0
"323",2927719,0,0,0
"324",2927723,0,1,0
"325",2927725,0,1,0
"326",2927749,0,1,0
"327",2927755,0,1,0
"328",2927761,1,1,0
"329",2927763,1,1,0
"330",2927765,1,1,0
"331",2927767,0,0,0
"332",2927769,0,1,0
"333",2927771,0,0,0
"334",2927775,0,0,0
"335",2927783,0,0,0
"336",2927785,0,1,0
"337",2927787,0,0,0
"338",2927791,1,1,0
"339",2927799,1,1,0
"340",2927801,0,1,0
"341",2927819,1,1,0
"342",2928811,0,0,0
"343",2928823,0,0,0
"344",2928839,0,0,0
"345",2928847,0,0,0
"346",2928865,0,0,0
"347",2928869,0,0,0
"348",2928873,1,0,0
"349",2928877,1,0,0
"350",2928883,0,0,0
"351",2928887,0,0,0
"352",2928897,0,0,0
"353",2928899,0,0,0
"354",2928911,0,0,0
"355",2928913,0,0,0
"356",2928915,0,0,0
"357",2928917,0,0,0
"358",2928923,0,0,0
"359",2928937,1,0,0
"360",2928957,1,0,0
"361",2928977,1,0,0
"362",2929015,1,0,0
"363",2929017,0,0,0
"364",2929035,1,0,0
"365",2929085,1,0,0
"366",2929091,0,0,0
"367",2929115,1,0,0
"368",2929117,1,0,0
"369",2929141,1,0,0
"370",2929169,0,0,0
"371",2929179,1,0,0
"372",2929221,1,1,0
"373",2929227,1,0,0
"374",2929259,1,0,0
"375",2929277,1,0,0
"376",2929295,1,0,0
"377",2929317,1,1,0
"378",2929343,1,0,0
"379",2929389,1,0,0
"380",2929487,0,0,0
"381",2929661,0,0,0
"382",2929961,0,0,0
"383",2929979,0,0,0
"384",2929981,0,0,0
"385",2929985,0,0,0
"386",2930047,1,1,0
"387",2930371,1,0,0
"388",2930373,1,0,0
"389",2930377,1,0,0
"390",2930379,1,0,0
"391",2930387,1,0,0
"392",2930409,1,1,0
"393",2930415,1,0,0
"394",2930525,0,0,0
"395",2930539,1,0,0
"396",2930541,0,0,0
"397",2930545,0,0,0
"398",2930547,0,0,0
"399",2930555,0,1,0
"400",2930573,0,0,0
"401",2930575,1,1,0
"402",2930577,1,1,0
"403",2930581,1,1,0
"404",2930583,1,1,0
"405",2930585,1,0,0
"406",2930591,0,1,0
"407",2930593,1,1,0
"408",2930595,1,1,0
"409",2930601,1,1,0
"410",2930603,1,0,0
"411",2930607,0,0,0
"412",2930639,1,1,0
"413",2930669,0,0,0
"414",2930671,0,0,0
"415",2930677,0,0,0
"416",2930683,0,0,0
"417",2930685,0,0,0
"418",2930705,0,1,0
"419",2930713,1,1,0
"420",2930719,1,1,0
"421",2930723,1,1,0
"422",2930751,1,1,0
"423",2930759,1,1,0
"424",2930771,1,0,0
"425",2930779,1,1,0
"426",2930781,1,0,0
"427",2930783,0,1,0
"428",2930785,0,0,0
"429",2930787,1,0,0
"430",2930789,0,1,0
"431",2930791,0,1,0
"432",2930813,0,1,0
"433",2930829,0,1,0
"434",2930831,0,0,0
"435",2930837,0,0,0
"436",2930839,0,1,0
"437",2930841,0,1,0
"438",2930843,0,0,0
"439",2930845,0,0,0
"440",2930847,0,1,0
"441",2930851,0,1,0
"442",2930853,1,0,0
"443",2930857,0,1,0
"444",2930861,1,1,0
"445",2930867,1,1,0
"446",2930869,1,1,0
"447",2930871,1,1,0
"448",2930873,0,1,0
"449",2930879,1,1,0
"450",2930885,0,0,0
"451",2930899,1,1,0
"452",2930917,0,0,0
"453",2930919,0,0,0
"454",2930921,0,0,0
"455",2930981,0,1,0
"456",2930999,1,1,0
"457",2931017,1,1,0
"458",2931025,0,0,0
"459",2931033,0,0,0
"460",2931037,1,1,0
"461",2931087,0,0,0
"462",2931641,0,0,0
"463",2931643,0,0,0
"464",2931647,0,0,0
"465",2932155,0,1,0
"466",2932157,0,1,0
"467",2932159,0,1,0
"468",2932161,0,0,0
"469",2932173,1,1,0
"470",2932177,1,1,0
"471",2932179,1,0,0
"472",2932183,1,1,0
