Site,Reach,Year,SR,secchi,SumOfDP01,SumOfDP05,SumOfDP10,SumOfDT00,SumOfDT32,SumOfDT90,SumOfDX32,SumOfDSNW,EMXPavgcm,EMXPmaxcm,EMXPmincm,MXSDmaxcm,TPCPmaxcm,TPCPcm,TPCPavgcm,TPCPmincm,TSNWcm,EMNTavgC,EMNTmaxC,EMNTminC,EMXTavgC,EMXTmaxC,EMXTminC,MMNTavgC,MMNTmaxC,MMNTminC,MMXTavgC,MMXTmaxC,MMXTminC,MNTMavgC,MNTMmaxC,MNTMminC,qmean,qmin,qmax,qltefavg,FecCol,TempC,Domg,BOD5,tss,NH3,Phos,pH,phenmgl,Fe,Pb,Mn,Hg,Ni,Ag,Zn,As,Cd,Cr,Cu,phenugl
Dres2000,Dresden,2000,13,63.5,79,29,10,10,111,12,49,59,3.06,10.57,0.79,50.8,16.46,104.44,8.7,2.97,172.72,-1.76,14.44,-21.67,25.88,34.44,3.33,6.51,19.33,-11.5,15.71,28.56,-3.28,11.13,23.94,-7.39,7296.5,1910,43800,5420,615,24.09,7.58,2.92,24,0.3,1.02,7.43,0.01,0.4,0.02,0.04,0.06,0.01,0,0.03,0.03,0,0,0.01,7.92
Dres2001,Dresden,2001,21,53.5,84,27,7,1,105,23,39,43,3.05,9.09,0.61,40.64,18.59,101.45,8.45,2.87,34.29,-0.69,15,-17.78,25.32,36.11,6.11,7.1,20.11,-6.5,16.03,29.89,0.11,11.58,25,-3.06,10598.74,2730,61000,7800,331.67,24.26,7.96,3,27,0.25,0.89,7.36,0.01,0.6,0.01,0.05,0.03,0,0,0.04,0.01,0,0.01,0.01,7.33
Dres2002,Dresden,2002,18,69.5,68,19,6,1,110,33,27,48,2.78,6.63,0.89,22.86,14.83,83.87,6.99,1.98,114.3,-1.44,16.11,-20,25.93,36.67,12.78,7.04,21.78,-4,15.9,31.06,2.67,11.48,26.44,-0.67,9250.63,461,76700,3210,101.25,24.12,7.76,3.33,26.42,0.2,0.92,7.49,0.01,0.72,0.01,0.04,0.04,0.01,0,0.04,0.01,0,0.01,0.02,10.25
Dres2003,Dresden,2003,16,75,70,28,10,2,115,14,47,37,2.24,5.66,0.3,15.24,17.17,93.47,7.79,0.64,63.5,-2.22,16.67,-19.44,25.14,36.11,8.89,5.74,19.78,-8.94,14.8,29.11,-1.94,10.27,24.44,-5.44,8394.22,1740,36800,4630,475,22.39,7.71,3.65,27.08,0.33,0.93,7.3,0.01,2.55,0.04,0.18,0.04,0.02,0,0.16,0,0,0.02,0.07,7.42
Dres2004,Dresden,2004,19,57.5,69,26,11,5,101,4,43,46,2.7,4.06,0.51,20.32,14.15,90.68,7.56,1.91,65.02,-2.78,13.33,-21.11,25.14,33.33,12.78,6.37,18.56,-9.28,15.28,27.33,-2.06,10.83,22.94,-5.67,10476.64,2080,50600,3420,528.33,25.02,7.6,2.5,32.75,0.35,1.26,7.59,0.01,0.89,0.01,0.04,0.19,0.01,0,0.04,0,0,0,0.02,8.58
Dres2005,Dresden,2005,21,93,59,19,0,2,110,35,43,55,1.71,2.44,0.84,35.56,13.51,62.46,5.2,2.72,138.43,-1.11,16.11,-17.78,26.62,40,7.78,7,20.28,-7.56,16.05,30.33,-1.33,11.53,25.33,-4.44,7686.77,1140,78300,3140,175.83,25.16,7.65,3.75,11.25,0.34,1.24,7.52,0.01,0.31,0.01,0.03,0.03,0,0,0.03,0,0,0,0.01,7.08
Dres2006,Dresden,2006,23,44,79,32,14,1,92,16,15,22,3.68,9.65,1.83,10.16,18.08,120.78,10.06,3.38,41.4,-0.46,15.56,-21.11,26.06,37.22,12.78,7.62,21.11,-5.89,16.11,30.06,2.72,11.88,25.61,-1.56,10549.51,3300,42700,9700,475.83,23.06,7.7,1.7,19.42,0.23,0.93,7.5,0,0.64,0.01,0.03,0.03,0,0,0.03,0.01,0,0,0,2.5
Dres2007,Dresden,2007,24,73,80,27,11,8,115,21,51,53,2.92,6.32,1.32,30.48,22.25,100.94,8.41,4.24,126.75,-2.04,14.44,-22.78,25.23,34.44,8.89,6.79,19.94,-10.78,15.68,28.39,-3.83,11.25,24.17,-7.28,12078.63,2430,77700,11000,1727.5,25.99,6.87,1.33,17.25,0.21,0.91,7.63,0,0.51,0,0.03,0.02,0,0,0.03,0,0,0,0,1.33
Dres2008,Dresden,2008,25,63.5,79,28,13,9,124,10,50,61,3.42,9.19,0.94,22.86,27.51,123.06,10.26,3.25,146.81,-1.99,15,-20.56,25.42,35,11.67,5.38,18.83,-8.83,14.51,29.17,-0.61,9.96,24,-4.28,14530.6,1620,102000,21600,258.33,23.11,7.72,2.5,19.5,0.2,0.73,7.17,0,0.57,0.01,0.04,0.12,0,0,0.03,0.02,0,0,0.01,1.5
Dres2009,Dresden,2009,28,74.5,86,34,15,2,102,7,56,56,2.86,5.13,0.91,25.4,19.53,117.04,9.75,1.37,116.59,-2.41,13.89,-27.78,23.7,33.89,3.33,5.63,17.5,-12.39,14.26,26.33,-4,9.96,21.94,-8.17,15046.68,2790,87000,4970,227.5,22.18,8.53,9.5,20,0.18,0.8,7.42,0.01,0.66,0.01,0.03,0.1,0.01,0,0.03,0.03,0.01,0,0.01,5
Dres2010,Dresden,2010,15,85,78,27,11,1,110,24,57,79,3.97,12.12,1.02,22.86,23.37,113.67,9.47,2.72,109.47,-0.23,16.11,-17.78,25,35,6.67,6.94,21.11,-8.28,15.76,30.67,-2.11,11.36,25.89,-5.17,10236.9,1240,44700,5340,506.67,23.92,7.88,3,19.5,0.23,0.93,7.55,0,0.68,0.01,0.04,0.1,0.01,0,0.02,0.03,0.01,0,0.01,2.5
Mars1983,Marseilles,1983,20,15.17,70,24,13,13,110,36,36,17,3.07,6.1,0.38,10.16,15.72,103.61,8.63,0.94,58.93,-4.07,12.78,-28.89,25.46,38.33,7.78,5.62,19.44,-13.61,16.05,31.5,-5.17,10.85,25.17,-9.39,12046.36,3840,61300,8470,317.5,21.17,7.02,7.25,32.83,1.07,0.6,6.87,0.01,0.48,0.02,0.07,0.09,0.03,0,0.02,0.03,0,0,0.02,13.2
Mars1984,Marseilles,1984,20,17.67,74,22,9,11,127,10,43,58,2.87,5.54,1.07,33.02,12.09,87.78,7.32,1.52,46.99,-4.86,12.22,-28.33,24.44,35.56,5.56,4.71,17.17,-12.5,15.1,29,-3.33,9.92,22.83,-7.89,10554.1,3470,59300,9300,86.11,22.39,6.87,4.72,25.67,0.97,0.38,7.08,0.02,0.36,0,0.06,0.23,0.03,0,0.04,0,0,0,0.01,22.11
Mars1985,Marseilles,1985,21,22.67,78,20,13,28,119,7,66,67,2.78,6.3,0.97,38.1,24.54,96.52,8.04,2.49,52.07,-5.14,11.67,-31.67,23.24,33.89,3.33,3.95,17.56,-14.56,14.44,27.94,-4.5,9.22,22.78,-9.5,12487.97,3520,77000,6600,813.33,20.33,7.38,5.89,20.22,1.19,0.41,6.74,0.02,0.46,0.01,0.05,0.1,0.04,0,0.05,0,0,0.01,0.02,23.9
Mars1989,Marseilles,1989,25,17.5,55,13,7,21,140,12,55,59,2.17,7.39,0.48,17.78,21.16,65.66,5.47,0.99,42.16,-5.28,12.78,-28.33,26.25,36.11,11.11,3.54,18.33,-14.06,14.53,28.94,-3.72,9.05,23.67,-8.89,8360.99,2960,38300,9545,187.04,22.05,7.71,3.73,70.19,0.26,0.43,7.47,0.02,1.08,0.02,0.07,0.22,0.06,0.01,0.08,0.05,0.01,0.01,0.01,24.46
Mars1990,Marseilles,1990,18,18.33,80,28,11,3,128,9,19,21,3.2,6.45,0.56,10.16,18.14,114.35,9.53,1.83,27.18,-2.45,13.33,-20.56,26.71,37.78,14.44,5.92,17.78,-6.5,16.08,27.11,3.22,11.02,22.44,-1.61,14181.29,3640,80900,8680,1744,19.06,8.31,4.2,62.07,0.29,0.31,7.8,0.02,0.75,0.01,0.08,0.19,0.06,0.01,0.07,0.06,0.01,0.01,0.01,19.5
Mars1991,Marseilles,1991,18,28.33,62,24,12,5,124,27,39,47,2.62,5.26,0.38,27.94,21.21,94.54,7.88,0.99,71.37,-3.1,12.22,-20,26.81,37.78,6.67,5.76,18.61,-11,16.68,30.28,-1.56,11.23,24.44,-6.28,12411.59,2630,52200,2843.33,163.15,22.52,8.05,3.3,19.33,0.19,0.62,7.68,0.02,0.31,0.01,0.04,0.16,0.02,0,0.03,0.01,0.01,0.01,0.01,21.3
Mars1992,Marseilles,1992,18,12.67,69,22,6,6,122,2,19,21,2.32,7.16,0.33,15.24,24.87,86.74,7.23,0.69,39.37,-3.98,12.22,-22.22,23.75,33.33,9.44,4.77,16.67,-6.06,15.3,26.39,2.22,10.06,21.22,-1.78,9687.95,4100,37000,10633.33,57.28,18.36,7.96,2.94,25.5,0.13,0.42,7.47,0,0.48,0,0.04,0,0,0,0.03,0,0,0,0,3.06
Mars1993,Marseilles,1993,22,15.33,81,32,10,6,136,5,46,45,2.54,4.78,0.97,15.24,17.02,105.61,8.8,2.9,49.78,-3.84,15.56,-20,23.52,33.33,8.33,4.8,19.22,-8.17,14.65,27.56,0.5,9.74,23.39,-3.5,18430.3,6290,61400,9863.33,96.11,18.32,7.11,1.61,28.67,0.08,0.34,7.55,0,0.42,0.01,0.04,0.25,0.05,0,0.07,0.01,0.01,0.01,0.01,3.78
Mars1994,Marseilles,1994,22,22,58,23,6,18,123,14,41,45,2.67,5.18,1.27,25.4,14.53,76.3,6.36,2.44,65.28,-4.26,11.11,-28.89,25.83,34.44,5,4.66,17.11,-13.28,15.93,28.44,-4.22,10.31,22.39,-8.72,9447.01,2440,37300,5100,58.22,18.02,6.1,1.13,29,0.21,0.57,7.83,0,0.45,0,0.05,0.03,0,0,0.09,0,0,0,0.01,2.22
