(Intercept),BOD5,Domg,FecCol,NH3,pH,Phos,qmax,tss,R^2,adjR^2,df,logLik,AICc,delta,weight
-43.57008519304526,,,-0.004924566058049414,6.232591761224167,6.890822976332266,,1.2252448070926094e-4,0.19524591146090603,0.4153753707297577,0.41578851933064964,7,-286.98027341481367,589.3264004881639,0,0.388796107870429
-42.50563832709746,,,-0.004832534900217682,6.125515747676885,6.916180324244088,-1.244560782231317,1.1933924562855263e-4,0.18581226599753564,0.4161495111106456,0.416563429701859,8,-286.9206464331253,591.6190706440284,2.292670155864471,0.123559149407515
-43.349811677832065,,0.2121653673067904,-0.00482152703415274,6.2060752079188815,6.664521830039991,,1.20982347736766e-4,0.19190340159799316,0.4159026219370987,0.41631629496267725,8,-286.93967127710926,591.6571203319963,2.330719843832412,0.121230675524556
-43.67289803934614,0.06296265842323248,,-0.004883495241719911,6.07596347221778,6.901782834389921,,1.2146091802846051e-4,0.19196144549231797,0.4155654614123737,0.41597879908489843,8,-286.96563928674163,591.7090563512611,2.3826558630971704,0.118123079840854
-42.160102389432005,,0.239547880683417,-0.004707825303904884,6.085836133958308,6.662979046045982,-1.3577793217808312,1.1730831869758408e-4,0.18118017957114893,0.4168152345559375,0.417229815301745,9,-286.86930683875346,593.9886136775069,4.662213189342992,0.0377863704403518
-42.566726746787126,0.07634805088010266,,-0.004777235517541964,5.929193572708434,6.930984814787982,-1.3189010413869195,1.1785931658219373e-4,0.18126605533315046,0.41642625470660233,0.4168404485578276,9,-286.8993114947427,594.0486229894854,4.722222501321426,0.0366694436899169
-43.381244194929906,0.01153173886217487,0.2000271097019637,-0.004819899827720139,6.178905465066345,6.679476134291355,,1.2087578151039554e-4,0.19149307433241347,0.4159072727021832,0.41632095035359473,9,-286.9393129716796,594.1286259433592,4.802225455195298,0.035231562202029
-24.724253139989155,,,-0.002660713720452907,,4.77914989473053,,1.1069789318901438e-4,0.16714405844336708,0.36340462784338257,0.3637660843093434,6,-290.8126652625544,594.6373787178799,5.310978229715943,0.0273185496840165
-28.593055525361084,0.4225924413061801,,-0.00276690086657878,,5.208888035169572,,1.0555428004538282e-4,0.14983936209406448,0.3734464300420256,0.3738178744774741,7,-290.0971667115936,595.5601870817238,6.233786593559898,0.0172215544530064
-23.160306092829185,,,-0.002548511717461814,,4.90929508597244,-2.627909155752084,1.0440124018964963e-4,0.14824419050445914,0.36692452064745695,0.367289478136564,7,-290.5631587360666,596.4921711306698,7.1657706425058905,0.0108067370509589
-42.20812758016759,0.02084009361744965,0.21781375947000797,-0.004704045561981863,6.035847821442749,6.689992995588908,-1.3677990744796031,1.1708862026067679e-4,0.18035950626803665,0.4168303740308358,0.41724496983495757,10,-286.8681386237144,596.5210873740111,7.194686885847204,0.0106516160133946
-24.525763166137104,,0.3006032653030277,-0.0025283707750069838,,4.47124756620824,,1.0858423534510885e-4,0.162577670080325,0.3644649312373498,0.3648274423225649,7,-290.73765147113386,596.8411566008043,7.514756112640384,0.009076394257996
-27.019186503111833,0.4325592295079323,,-0.002649945252894127,,5.357587258435243,-2.7979009463909112,9.87290034474427e-5,0.12930878770526508,0.3774308490706113,0.3778062565651698,8,-289.81008608869985,597.3979499551775,8.071549467013597,0.00687079849273436
-29.16785624979152,0.4702220457582058,-0.21013795469087498,-0.002871383904259331,,5.4725634130129714,,1.0645211426806038e-4,0.15108113475541896,0.3738370133361951,0.37420884626107487,8,-290.0691056969702,597.9159891717183,8.589588683554325,0.00530293648095466
-22.835610473078948,,0.3531904609901625,-0.002386453665680577,,4.555141427602277,-2.781626940105083,1.0154950293399144e-4,0.1417734282142434,0.3683762060893938,0.36874260748165816,8,-290.4598521635739,598.6974821049256,9.371081616761671,0.00358771049358322
-36.567800487390436,,,,,6.303661337355157,,1.071621834902673e-4,0.14298387772675852,0.3165999499785088,0.31691485268000086,5,-294.00524280814676,598.7247713305792,9.398370842415261,0.0035390900309832
-34.298766193306484,,0.8660400908164138,,,5.198129722939566,,1.0157938867835328e-4,0.13329024115612023,0.32636181347596616,0.3266864257089574,6,-293.35781604752935,599.7276802878298,10.401279799665872,0.00214344674545983
-27.474571859812414,0.46759093410478175,-0.15540365721002783,-0.00272946553369277,,5.549720591644481,-2.744032321702628,9.952438883005345e-5,0.13062239765310021,0.37764298483009995,0.3780186033231875,9,-289.7947500639149,599.8395001278298,10.513099639665825,0.00202689535803979
-33.42177816577036,,,,,6.4040722512345924,-4.006740541530467,9.778908631508084e-5,0.11572088392037379,0.3249760361973314,0.32529927008200404,6,-293.4502928764668,599.9126339457047,10.586233457540743,0.00195411681268115
-28.94510645984182,,,-0.004394177318163863,5.182198948342917,6.043799975672554,,,0.18155116308308175,0.32463398533847165,0.32495687900597275,6,-293.4730896821649,599.9582275571009,10.631827068937014,0.00191007312649054
-40.07564388228787,0.3414484484926415,,,,6.70004295610625,,1.0289220721615664e-4,0.12822286712164516,0.32320430938073963,0.3235257810365778,6,-293.5682490729701,600.1485463387113,10.822145850547372,0.0017366919692924
