Site,G5,G11,NAWQA,NRSA,WSA,DRAINAGE,SLOP_PCT,ELEV_AVG,ELEV_MIN,ELEV_MAX,ELEV_RNG,ECO3_39,ECO3_45,PPTAVG_C,PPTAVG_B,T_AVG_C,T_AVG_B,T_MIN_B,T_MAX_B,C_Mnprecp,Mnprecip,WD_JAN,WD_MAR,WD_APR,WD_JUL,WD_AUG,Wetdays,ET,PET_B,FST32F_B,LST32F_B,TOPWET,RF,PERHOR,Wat_Tab,CLAYAVE,SANDAVE,KFACT_UP,NO10_AV,BDAVE,MgO_PCT,RECHARGE,Year,DoY
S14670,2,2,0,1,0,671.7627,32.45,925.25,347.68,1476.62,1128.94,0,0,131.6,151.2,10.77,8.97,2.27,14.71,80.06,94.25,14.76,14.23,14,13.84,11.95,2.04,60.6,670.06,272.2,135.65,10.83,142.781,1.49,-48.17,22.39,22.36,0.26,65.21,1.39,1.8,328.11,2009,244
S14672,2,2,0,1,0,276.4611,27.14,857.86,656.91,1364.96,708.05,0,0,117.7,117.7,9.27,9.09,2.7,15.57,74.21,82.46,11.48,11.9,12.01,12.16,10.98,2,62.69,619.55,272.03,136.86,11.08,129.494,0,-28.08,18,34.02,0.22,59.05,1.38,1.74,217.2,2009,161
S14676,5,11,0,1,0,1.8045,27.28,405.57,197.23,725.51,528.28,0,0,98.5,98.5,10.86,10.86,4.64,16.53,61.35,61.35,8,10,10,9.62,9.62,1.92,64.03,695.77,283,120.91,12.97,109.231,0.29,-42.32,14.91,37.33,0.19,53.63,1.35,2.09,126.11,2009,167
S14685,2,2,0,1,0,3297.8241,26.37,833.98,467.75,1477.76,1010.01,0,0,103,115.1,11.22,9.44,2.89,15.85,70.18,79.54,11.74,12.09,12.08,12.14,10.84,1.94,62.96,688.53,273.66,133.8,11.14,123.785,3,-29.47,22.44,29.47,0.24,61.38,1.38,1.77,213.17,2009,160
S14747,2,2,0,1,0,2024.3151,7.95,339.2,205.53,445.86,240.33,100,0,106.8,111.8,12.03,13.02,6.28,19.54,47.3,50.31,5.88,8.94,9.06,6.57,6.83,1.7,71.04,755.6,284.82,114.52,12.32,208.835,4.92,-14.03,35.69,26.85,0.32,55.53,1.39,12.35,72.2,2009,180
S14872,5,11,0,1,0,5.652,30.58,739.71,506.99,1346.74,839.75,0,0,118.5,118.5,10.07,10.07,3.78,16.59,75.48,75.48,9.07,10,10.07,11.75,9.8,1.95,65.93,640.07,276.14,129.51,10.81,133.965,0.99,-18.22,17.3,36.92,0.21,56,1.38,1.36,160.88,2009,153
S15419,5,11,0,1,0,7.4322,41.4,892.32,596.4,1339.2,742.8,0,0,160.3,169.8,11.9,11.82,5.5,18.83,104.03,108.23,11.01,11,10,13.01,11.93,2.04,73.25,674.77,275.57,126.02,9.65,323.52,3.97,-63.21,20.73,40.64,0.22,87.39,1.4,2.12,637.13,2009,171
S15422,5,11,0,1,0,1.7343,22.42,479.28,362.42,855.96,493.54,0,16.14,135.4,135.4,13.31,13.31,6.55,20.33,101.31,101.31,9.08,10.08,9.08,11.08,10.89,1.91,77.63,766.28,286.84,117.99,11.3,241.3,8,-89.93,28.53,32.82,0.22,89.84,1.36,1.76,351.41,2009,164
S15435,2,3,0,1,0,23.3523,8.56,250.3,173.62,349.43,175.81,100,0,113.4,113.8,14.2,14.14,7.29,21.15,61.09,61.88,6,8,9,6,7,1.69,74.39,836.24,293.97,99.74,11.62,239.443,7.62,-23.77,47.23,13.47,0.29,75.05,1.34,10.93,135.85,2009,166
S15461,2,3,0,1,0,1.8225,4.66,209.06,187.6,231.07,43.47,0,100,120.8,120.8,15.6,15.6,9.31,22.28,74,74,10,10,7,10,9,1.76,75.44,870.96,301.29,99,12.26,238.664,8,-2,42.59,16.17,0.38,89.63,1.41,4.14,93.54,2009,191
S5006262,2,3,0,0,1,5.5809,9.82,177.06,134.12,268.61,134.49,0,0,120.5,120.5,13.6,13.59,7.92,19.86,74,74,8,10,10,7,7,1.72,71.99,816.15,296,100.21,10.39,229.063,6,-12.75,22.84,16.63,0.4,91.92,1.43,2.2,51.37,2004,194
