Site,G5,G11,NAWQA,NRSA,WSA,DRAINAGE,SLOP_PCT,ELEV_AVG,ELEV_MIN,ELEV_MAX,ELEV_RNG,ECO3_39,ECO3_45,PPTAVG_C,PPTAVG_B,T_AVG_C,T_AVG_B,T_MIN_B,T_MAX_B,C_Mnprecp,Mnprecip,WD_JAN,WD_MAR,WD_APR,WD_JUL,WD_AUG,Wetdays,ET,PET_B,FST32F_B,LST32F_B,TOPWET,RF,PERHOR,Wat_Tab,CLAYAVE,SANDAVE,KFACT_UP,NO10_AV,BDAVE,MgO_PCT,RECHARGE,Year,DoY
BDB29655,4,6,1,0,0,39.9213,18.71,500.49,329.17,873.98,544.81,0,0,95.5,98.5,10.23,10.17,3.44,17.29,54.6,57.59,7.79,9.77,10.34,11.05,10,1.97,65.91,652.73,275.99,131.4,10.66,107.205,1.39,-28.79,17.61,33.67,0.21,53.31,1.37,1.91,136.46,1995,222
BDB29656,5,10,1,0,0,20.583,19.31,530.72,395.4,781.98,386.58,0,0,98.9,99.4,10.08,9.93,3.17,16.42,57.13,58.05,8.14,10,11,11.16,10,1.98,64.82,653.9,275.35,131.73,10.82,106.144,1.97,-41.64,16.46,35.01,0.2,52.57,1.36,1.39,130.99,1995,221
BDB29657,5,10,1,0,0,18.2988,12.41,375.23,234.84,604.04,369.2,0,0,96.3,96.6,10.9,10.93,4.67,17.11,59.95,59.74,8,10,10.01,10.01,9.36,1.93,63.51,695,280.64,123.66,10.49,104.488,0.07,-16.47,14.1,38.15,0.18,50.25,1.34,1.42,122.07,1995,222
BDB29658,5,10,1,0,0,13.1436,16.38,331.61,198.09,657,458.91,0,0,99.5,100.9,10.51,10.28,4.55,16.49,60.1,61.74,7.42,9,10,9,8.57,1.9,62.74,688.54,281,125.58,10.93,109.359,0.88,-22.22,16.3,34.72,0.2,53.46,1.36,1.64,138.49,1995,219
BDB29660,4,8,1,0,0,59.6421,19.41,296.62,142.33,614.28,471.95,0,0,104,109.5,10.73,10.65,4.88,16.73,62.87,65.87,7.42,9.03,10,9,9,1.86,64.71,694.29,281.36,123.9,11.1,118.148,0.46,-29.07,23.9,26.61,0.24,64.84,1.39,2.44,162.81,1995,219
BDB29661,5,10,1,0,0,61.1649,29.84,907.91,614.94,1321.14,706.2,0,0,112.1,113.3,9.32,9.22,2.71,14.98,68.93,69.46,9,10.31,10.44,11.02,10.85,1.97,61.9,611.56,271.08,134.49,9.96,124.842,1.05,-37.87,18.74,35.21,0.22,61.63,1.42,1.26,169.9,1995,226
BDB29662,5,10,1,0,0,31.4577,35.52,819.08,487.92,1244.79,756.87,0,0,101,107.6,10.56,9.62,3.46,15.65,51.06,56.78,8.31,9.95,9.95,11,11.4,1.94,63.26,654.73,272.58,133.67,9.62,113.646,0.2,-42.89,16.99,38.81,0.2,57.94,1.39,1.16,151.08,1995,227
BDB29664,3,5,1,0,0,29.3463,23.05,562.7,272.89,889.19,616.3,0,0,106.1,107.5,10.42,10.39,3.73,17.54,58.46,58.35,7.9,9.16,10,11.19,9.56,1.88,67.61,663,277.59,129.77,9.71,107.598,1.6,-47.91,18.47,32.06,0.23,55.49,1.38,2.16,129.27,1995,223
BDB31094,4,7,1,0,0,16.4214,5.68,102.43,50.72,140.68,89.96,0,100,109.8,109.8,13.06,13.06,7.05,19.3,70.14,70.14,8,8,9,9,8,1.76,70.87,784.06,296.57,106.56,12.31,153.355,1,-17.43,29.32,24.54,0.35,78.37,1.4,1.85,105.71,1994,235
BDB34123,4,9,1,0,0,14.5269,14.61,272.5,208.06,480.78,272.72,0,0,142.2,143.9,14.5,14.46,8.9,21.78,89,89.54,10,10,8,9.79,8.79,1.94,73.06,818.14,296,103.36,12,299.98,7.03,-25.52,34.39,19.76,0.28,61.69,1.44,3.31,265.79,2000,160
BDB35113,4,9,1,0,0,54.8532,14.05,310.13,213.12,437.47,224.35,0,0,146.1,146.1,15.5,15.55,9.36,21.97,79.28,79.21,9.71,9,8,9.09,7,1.84,79.14,857.96,299.31,98.85,11.69,344.311,4.76,-13.71,31.64,28.88,0.25,74.2,1.47,2.76,238.69,2000,158
BDB35116,3,5,1,0,0,10.4643,12.87,270.11,209.55,439.59,230.04,0,0,145.8,145.5,15.53,15.55,9.41,22.25,79,79,10,9,8,9.05,7,1.85,78.87,860.53,299,99,11.66,340.973,5.19,-20.14,33.83,25.28,0.28,70.89,1.48,7.06,241.67,2000,158
BDB35320,4,6,1,0,0,116.0883,14.41,283.23,156.25,533.95,377.7,0,0,110.7,112.9,9.48,8.93,3.35,15.01,65,66,8.07,8.42,9.97,9,8,1.86,60.75,653.2,285.78,126.23,12.04,136.429,1.3,-24.83,19.83,28.89,0.23,59.69,1.42,1.59,275.06,1993,172
